,GAVISH_3CA_MALIGNANT_METAPROGRAM_17_INTERFERON_MHC_II_1,GAVISH_3CA_MALIGNANT_METAPROGRAM_METAPROGRAM_6_HYPOXIA,GAVISH_3CA_METAPROGRAM_B_CELLS_INTERFERON,GAVISH_3CA_METAPROGRAM_B_CELLS_METABOLISM_MYC,GAVISH_3CA_METAPROGRAM_B_CELLS_MHC_II,GAVISH_3CA_METAPROGRAM_CD8_T_CELLS_INTERFERON,GAVISH_3CA_METAPROGRAM_ENDOTHELIAL_HEV_1,GAVISH_3CA_METAPROGRAM_ENDOTHELIAL_INTERFERON,GAVISH_3CA_METAPROGRAM_EPITHELIAL_ALVEOLAR,GAVISH_3CA_METAPROGRAM_EPITHELIAL_INTERFERON_MHC,GAVISH_3CA_METAPROGRAM_EPITHELIAL_PDAC_RELATED_1,GAVISH_3CA_METAPROGRAM_FIBROBLASTS_INTERFERON,GAVISH_3CA_METAPROGRAM_MACROPHAGES_INTERFERON,"bioplanet_1157_Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",bioplanet_1404_Cap-dependent translation initiation,bioplanet_1529_Endosomal/vacuolar pathway,bioplanet_1537_Folding of actin by CCT/TriC,bioplanet_1605_Nef-mediated downregulation of MHC class I complex cell surface expression,bioplanet_211_Eosinophils in the chemokine network of allergy,bioplanet_298_Type 1 diabetes mellitus,bioplanet_300_Asthma,bioplanet_301_Autoimmune thyroid disease,bioplanet_303_Allograft rejection,bioplanet_304_Graft-versus-host disease,bioplanet_321_Bystander B cell activation,bioplanet_322_B lymphocyte cell surface molecules,bioplanet_324_CTL mediated immune response against target cells,bioplanet_50_Lck and Fyn tyrosine kinases in initiation of T cell receptor activation,bioplanet_564_PD-1 signaling,bioplanet_955_Glycolysis,group
GSM971968,0.3283159127058477,0.0262718097425939,0.476199565842996,-0.3950262203539172,0.5403790835465877,0.4104357459349845,0.3789869505619678,0.4358694116041838,0.1889355567150833,0.1232424763874582,-0.158738046485496,0.3943582597716751,0.3570798818890661,-0.4085447055459856,-0.3421271245419838,0.1130929999338621,0.3429214819810355,0.5087150010821737,0.4726577071733858,0.3824850230617168,0.3286725373231965,0.1304930303626098,0.3805383556203682,0.3587407733334715,0.3460417752834585,0.657720313959886,0.2975536915599265,0.5336084076476869,0.5442327029224633,-0.3590542311269372,0
GSM971969,0.7214154687245752,-0.5445716986026434,0.7098023974164954,0.3044899448010425,0.4363446201557438,0.7332416022662278,-0.128759922649067,0.7154004313834564,0.3046023228074735,0.2973173224562334,0.0021921329447146,0.6876848076688656,0.6573831356025118,-0.1504419205771673,-0.242666669630142,0.6304210973131836,0.2115241798085899,-0.0843102297700329,0.3131053431459378,0.3373768462248098,0.4382195835073097,0.4584291788296145,0.5676922915624661,0.5431009135781435,0.5473554224937721,0.5079472432485965,0.5477120648721435,0.6803073458456836,0.6487788762263057,-0.0563153615732683,1
GSM971970,-0.3580032284152994,-0.0650714393079643,-0.3641219008874647,0.5698919619322173,-0.4895364244678083,-0.3958304960763508,-0.6515822680347333,-0.3395830328435873,-0.1972256800115973,-0.4819630656586728,-0.3882137321044946,-0.4461803352869756,-0.4020508980474321,0.3293400147978398,0.2804543006838919,-0.4306270553467924,0.5119497557114847,0.5292758453551887,-0.676073566030553,-0.4727033439457063,-0.5828592252044048,-0.4026530908516623,-0.439215916801166,-0.3312345119548937,-0.6680188061449008,-0.7485416897137898,-0.5467816130718645,-0.7248284625540664,-0.5650360177961471,0.5287139763622044,1
GSM971971,0.661502727655393,-0.1833658630602658,0.6977803163328811,0.5058010539883785,0.496642073330288,0.74473405175478,-0.0467810616205409,0.7354915766810955,0.3692829808701925,0.1142766014852669,0.2460226185114619,0.6931082210739101,0.732945578951504,-0.3231118721928802,-0.3973646742863761,-0.504164392786512,0.5021734363121916,0.1219876019133892,0.7168831757301375,0.3764166666276677,0.451318898672153,0.3969558635695791,0.4885959924247741,0.5100507265775089,0.7390366730559519,0.7361311492774861,0.6636028198061243,0.8307648318128883,0.6921402333494727,0.4348734357055024,1
GSM971972,-0.5431939138089774,-0.0409026673391078,-0.4777524049055854,0.5417751716816145,-0.4076392487989613,-0.4774098239996505,-0.3946611201337073,-0.4594685642347468,-0.2302374029532818,-0.3662516634538144,-0.2921639914884302,-0.4061868474045425,-0.4746853989174506,-0.4385601728809349,-0.4979368207554017,-0.680777632153817,0.4619094039512452,0.1878591750019672,-0.5269115708773525,-0.4247062513529404,-0.3755782394377585,-0.2790086502854007,-0.3803812156982576,-0.2430268511334181,-0.6214356061789987,-0.4003454426519354,-0.1260815482859251,-0.0231615909017499,-0.164085417672688,0.4996991649695467,1
GSM971973,-0.4382052085403785,0.2817264017267581,-0.47830254071193,0.4960129402310672,-0.5070914908101127,-0.4874299252927638,-0.4157018914302776,-0.5108611496513575,-0.0422285498398939,-0.3316431256521355,-0.0332155730649892,-0.4817192450925338,-0.3542185328390594,0.2124272609278144,0.219653102867766,-0.5547252032393319,0.5886170717412641,0.1495694681976439,-0.3934695151860009,-0.307781215410556,-0.4673674402996061,-0.3789491797904991,-0.2997043030860269,-0.3074917063986356,-0.3216803891196185,-0.5836638323204617,-0.4504043139457173,-0.5358171375930083,-0.5902024302907443,0.4350152882806486,0
GSM971974,-0.4931355765981399,0.2997443258624411,-0.5572854297662373,-0.4835411833636208,-0.0021055600185438,-0.5090266919695652,-0.2047059559718952,-0.5297299080244809,0.2016759229917416,-0.3455598141044793,0.2639342789469633,-0.5033306685759384,-0.5622165378051347,0.2474402991310982,0.4368032449080441,-0.3695256661328425,-0.683291059523232,-0.2419045989518912,-0.0763879152386799,-0.1831759230625718,-0.0188325873068506,-0.2558190319541122,-0.3576831581364855,-0.3535335394205024,-0.1794218951219419,-0.3029557278040087,-0.2786339214660148,0.039577308962567,-0.0157383929352194,0.050105486742371,0
GSM971975,-0.4229771784465667,0.0861882671300171,-0.4893285136563648,0.4378402133392351,-0.1878491679318319,-0.543651289195804,-0.2591451070048319,-0.5477686554978018,0.1661020980945458,-0.369991704914371,0.1077437805291712,-0.459084808608807,-0.4058974614719255,0.3463262084221059,0.2180099567404856,-0.7738837618443791,0.5073114123250366,-0.0879236883011461,0.0104962630757579,-0.1408449933355418,-0.0591645838796864,0.0696175773263459,-0.1668100460702913,-0.0561991762668814,-0.2267364219515698,0.1144224245536085,-0.2933248640994728,-0.3828958106912502,-0.0069591211568866,0.5038573185598366,0
GSM971977,0.4058317549305579,0.5467493606767136,0.5596765626047839,0.2605399608215032,0.5993995759489646,0.5255782160718108,0.4591011532933555,0.640739712290471,0.2618282800087249,0.4205726903750605,0.2496654434970414,0.5789192856572223,0.5910105098583753,0.4103831052539083,0.3476398404510865,-0.1700784885638417,-0.4320004951359567,0.2661397078710386,0.0690378289803225,0.3746360498255376,0.266637413717322,0.2565602499615206,0.3932333382683094,0.2530347502807666,0.4717239330765598,0.772350181966202,0.4515299172333176,0.5681395140436356,0.5597391661435863,0.1488710468207184,1
GSM971978,0.4348255161387273,0.0622887487744352,0.4907248353133703,0.5744295706598694,0.1942430805412762,0.4315469654959318,0.1072025459730452,0.5437672995119349,0.2044710045728508,-0.1209796843963134,-0.0178587620131806,0.5298281682191405,0.6287711490494693,0.4296129219746662,0.4722405876818414,-0.4282418155431251,0.5784107180702828,-0.0087605001419183,-0.0280360120423272,0.2064024156320277,0.3527097668960687,0.0265580908933371,0.4006908265441253,0.4213160545987699,0.3176023236371894,0.4480366771489975,0.3656577081215775,0.421301774855329,0.4876432337766809,0.1630039896908564,1
GSM971979,-0.3653111547927847,0.4890980712671615,-0.0165943391647635,0.3632292047590739,0.0310648973105104,-0.0542442305033556,-0.0678501085912716,-0.0898734734134256,-0.0244450643672629,0.079388960128741,-0.244656067100385,-0.0630602572719628,-0.0276285572903332,-0.3068878344070946,-0.2281052207104266,-0.800944664522905,0.2677230748921264,-0.4247352821811923,0.1491461069917124,-0.2388569736152399,-0.151085161379852,-0.2146870612156407,-0.3580193027200645,-0.2982611597154001,-0.466621576425589,0.0079863656528849,-0.4635581900163665,-0.5142235796932914,-0.4954450793008514,0.2585510041088912,1
GSM971980,0.8074251152005033,0.6291831096996829,0.8734959657831275,-0.3692511410550816,0.493623685075032,0.8589109560409037,0.4318378435613093,0.8539938350788345,0.2632319339422452,0.5209243238442288,0.4497722227906238,0.8107072430347312,0.8050437677656868,-0.5482004623846081,-0.599119096870886,0.8321537789426938,-0.6382459705155588,0.3920583145149225,0.3523571002891373,0.4148953369299055,0.1164007919267672,0.4271008593533017,0.5523300399734636,0.5828436901123474,0.567889924266106,0.6082544754196627,0.6149080873369354,0.4892957008039637,0.3142064194141983,0.1863114452975044,1
GSM971981,0.607221650194725,-0.0080261776150401,0.5729437490877778,0.3410013223068008,0.3850473633373085,0.6001878688565156,0.1179208276584416,0.6331065604554358,0.112378686896382,0.1368255086413559,-0.1683365787716898,0.6000572073186323,0.6111023735641437,0.2115375834851711,0.2624435084647816,-0.4046535545634011,-0.0756629242934566,-0.2318352938212832,0.1108985293702071,0.3936193372214571,0.4957416216401318,0.3491797471105575,0.5243169536481633,0.3883704160387569,0.7058702965076239,0.7361893984381737,0.5800633511348696,0.7369478614173772,0.7211826809944478,-0.1258618085581583,1
GSM971982,0.7221021953809833,0.7041233922029696,0.8391894136567123,0.3240835451023507,0.4678069002456978,0.8002763587553965,0.3747335415121203,0.8632793305811793,0.2203542038478367,0.5689678239660856,0.1893505589906433,0.8386234222727738,0.851100738855585,-0.5565843333325587,-0.4825060644386856,0.86723460026206,0.3724960904975046,0.4664368390642656,0.1010704207068883,0.5414512460745013,0.1960610924589286,0.3777778787204592,0.6291144265885842,0.6389741825983939,0.5750628673244668,0.6787320822762565,0.8251961449207287,0.5685092990232963,0.5198640971892823,0.4033880941995198,1
GSM971983,0.7835643757119287,0.3589049573776945,0.7237057337098611,0.5080928024747922,0.6613403986430293,0.729655725596049,0.567552262524324,0.7585639066023669,0.5174583452923046,0.5930410131265503,0.3378194812603152,0.771228037331443,0.7632042425155977,-0.2563090449136294,-0.3624420813353154,0.7709256736366373,0.3189010220260707,0.496240562809313,0.7131785451202348,0.6929113577965353,0.580041519816652,0.5011384271215957,0.745853815200192,0.6888043151557971,0.8628715994293054,0.8359402306886046,0.8116315651490852,0.8548147500874054,0.7454364963530427,0.3321802992511157,1
GSM971984,0.4156211980411036,0.6114276594336996,0.3006142632488564,0.6238566809725643,0.3247359216280194,0.2799664087833017,0.2304747420487519,0.4153429962082056,0.0142897795415768,0.0439658510214569,-0.2436341111364361,0.4114348392291458,0.4897531383356784,0.4509944179937108,0.4725571783090318,0.4745117113310659,0.5998246337820963,0.5911445421208343,0.4129272032238334,0.288759825882535,0.1328685941734324,0.2809131192701751,0.5089494560652469,0.3293994647536342,0.4737064892034981,0.6617170737330403,0.6887028375136918,0.6315710992102448,0.6099497443950639,0.6756897083558605,1
